siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 01:00",0.24
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 01:00",14
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 01:00",1.3
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 01:00",16
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 02:00",13
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 02:00",1.2
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 02:00",9
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 02:00",13
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 02:00",28
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 02:00",0.25
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 03:00",23
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 03:00",8
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 03:00",14
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 03:00",1.1
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 03:00",0.22
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 03:00",16
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 04:00",31
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 04:00",0.8
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 04:00",0.21
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 04:00",14
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 04:00",7
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 04:00",11
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 05:00",1
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 05:00",16
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 05:00",8
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 05:00",27
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 05:00",13
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 05:00",0.21
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 06:00",0.19
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 06:00",1.1
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 06:00",15
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 06:00",22
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 06:00",7
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 06:00",6
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 07:00",6
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 07:00",9
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 07:00",0.9
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 07:00",0.18
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 07:00",21
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 07:00",20
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 08:00",0.9
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 08:00",12
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 08:00",5
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 08:00",29
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 08:00",26
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 08:00",0.19
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 09:00",38
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 09:00",12
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 09:00",1.7
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 09:00",0.4
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 09:00",26
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 09:00",8
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 10:00",9
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 10:00",15
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 10:00",2.3
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 10:00",0.27
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 10:00",32
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 10:00",39
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 11:00",8
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 11:00",1.9
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 11:00",0.24
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 11:00",41
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 11:00",42
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 11:00",13
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 12:00",7
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 12:00",18
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 12:00",52
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 12:00",2.5
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 12:00",0.28
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 12:00",44
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 13:00",63
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 13:00",15
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 13:00",2.4
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 13:00",0.27
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 13:00",48
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 13:00",7
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 14:00",0.23
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 14:00",2.3
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 14:00",47
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 14:00",70
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 14:00",6
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 14:00",15
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 15:00",17
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 15:00",6
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 15:00",2.6
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 15:00",0.21
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 15:00",67
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 15:00",46
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 16:00",11
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 16:00",8
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 16:00",44
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 16:00",2.3
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 16:00",0.27
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 16:00",42
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-12-02 17:00",7
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 17:00",8
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-12-02 17:00",45
35,二林,彰化縣,3,臭氧,O3,ppb,"2025-12-02 17:00",37
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2025-12-02 17:00",0.22
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2025-12-02 17:00",1.3
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2025-12-02 18:00",10
